% Data generated on Wed Nov 18 22:18:23 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE z3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE z4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE y5 NUMERIC
@ATTRIBUTE z5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE y6 NUMERIC
@ATTRIBUTE z6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE y7 NUMERIC
@ATTRIBUTE z7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE y8 NUMERIC
@ATTRIBUTE z8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE y9 NUMERIC
@ATTRIBUTE z9 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
-0.15,2.84,-0.21,0.34,-1.40,-1.15,1.07,-3.24,0.44,1.24,-1.75,1.33,1.37,-1.33,2.49,0.21,1.90,-0.62,-1.13,0.74,-0.22,-0.17,-0.10,-0.59,-0.27,-0.19,-0.30,NOT_EX
1.37,-1.33,2.49,0.21,1.90,-0.62,-1.13,0.74,-0.22,-0.17,-0.10,-0.59,-0.27,-0.19,-0.30,-0.16,-0.08,-0.17,0.20,0.53,0.14,-0.05,1.33,-0.13,-1.11,4.16,-1.20,NOT_EX
-0.16,-0.08,-0.17,0.20,0.53,0.14,-0.05,1.33,-0.13,-1.11,4.16,-1.20,-3.45,-0.04,0.14,0.19,-2.87,1.72,0.63,-2.60,0.03,0.97,-1.94,-0.62,0.80,-0.31,0.40,NOT_EX
-3.45,-0.04,0.14,0.19,-2.87,1.72,0.63,-2.60,0.03,0.97,-1.94,-0.62,0.80,-0.31,0.40,3.05,-1.16,0.63,1.18,0.41,-0.45,0.31,0.23,-0.08,-0.09,-0.06,-0.27,NOT_EX
0.80,-0.31,0.40,3.05,-1.16,0.63,1.18,0.41,-0.45,0.31,0.23,-0.08,-0.09,-0.06,-0.27,-0.17,-0.09,-0.32,0.05,0.59,-0.30,-0.30,2.36,-0.37,-2.25,5.37,-3.06,NOT_EX
-0.17,-0.09,-0.32,0.05,0.59,-0.30,-0.30,2.36,-0.37,-2.25,5.37,-3.06,0.41,-1.79,-2.40,1.82,-2.95,0.42,1.63,-2.11,-0.45,1.12,-1.40,1.41,0.49,-0.12,0.86,NOT_EX
1.82,-2.95,0.42,1.63,-2.11,-0.45,1.12,-1.40,1.41,0.49,-0.12,0.86,0.78,2.00,0.44,-0.37,-0.15,-0.23,-0.25,0.10,-0.12,0.04,-0.06,-0.20,0.05,0.11,-0.13,NOT_EX
0.78,2.00,0.44,-0.37,-0.15,-0.23,-0.25,0.10,-0.12,0.04,-0.06,-0.20,0.05,0.11,-0.13,0.06,0.19,-0.08,-0.30,2.09,-0.24,-3.44,3.95,-3.01,-0.02,-1.31,-1.66,NOT_EX
0.06,0.19,-0.08,-0.30,2.09,-0.24,-3.44,3.95,-3.01,-0.02,-1.31,-1.66,1.56,-2.29,-0.68,1.59,-1.66,0.25,1.58,-0.41,-1.58,-1.25,0.87,-1.06,1.16,-0.35,0.81,NOT_EX
1.56,-2.29,-0.68,1.59,-1.66,0.25,1.58,-0.41,-1.58,-1.25,0.87,-1.06,1.16,-0.35,0.81,0.30,0.05,0.12,0.18,-0.01,-0.03,0.21,0.09,0.01,0.26,-0.00,-0.18,NOT_EX
0.30,0.05,0.12,0.18,-0.01,-0.03,0.21,0.09,0.01,0.26,-0.00,-0.18,0.17,0.00,-0.15,-0.01,0.01,-0.24,0.12,0.17,-1.05,2.12,-0.87,-2.69,-0.40,-2.02,-5.76,NOT_EX
0.17,0.00,-0.15,-0.01,0.01,-0.24,0.12,0.17,-1.05,2.12,-0.87,-2.69,-0.40,-2.02,-5.76,1.08,-0.65,-5.87,0.78,-0.20,-1.98,-0.13,0.14,-0.90,1.12,0.69,0.17,NOT_EX
1.08,-0.65,-5.87,0.78,-0.20,-1.98,-0.13,0.14,-0.90,1.12,0.69,0.17,-0.16,-0.76,0.14,0.07,0.01,0.08,0.17,0.03,0.08,0.08,0.04,0.02,-0.01,0.00,-0.02,NOT_EX
-0.16,-0.76,0.14,0.07,0.01,0.08,0.17,0.03,0.08,0.08,0.04,0.02,-0.01,0.00,-0.02,-0.01,0.01,-0.02,-0.03,0.01,-0.03,-0.08,-0.01,-0.04,-0.00,-0.01,-0.01,NOT_EX
-0.01,0.01,-0.02,-0.03,0.01,-0.03,-0.08,-0.01,-0.04,-0.00,-0.01,-0.01,-0.04,-0.00,-0.03,-0.05,-0.00,-0.05,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,NOT_EX
-0.04,-0.00,-0.03,-0.05,-0.00,-0.05,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.00,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.00,-0.02,0.02,-0.00,-0.01,NOT_EX
-0.01,-0.01,-0.01,-0.00,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.00,-0.02,0.02,-0.00,-0.01,0.03,-0.00,-0.00,-0.03,0.01,-0.03,-0.07,-0.01,-0.04,0.03,0.01,-0.02,NOT_EX
0.03,-0.00,-0.00,-0.03,0.01,-0.03,-0.07,-0.01,-0.04,0.03,0.01,-0.02,0.02,0.00,0.00,0.03,-0.00,-0.01,0.00,-0.01,-0.00,0.01,-0.01,-0.00,0.02,0.00,-0.01,NOT_EX
2.70,-3.16,-0.47,0.77,0.47,-1.18,0.47,0.25,-1.61,0.56,2.43,-3.73,0.78,5.11,-1.63,-4.37,2.33,1.95,-2.16,-2.23,2.74,-2.11,-3.65,1.94,0.30,-4.47,-1.90,EX_PEAK
-1.60,-1.31,-1.64,0.40,0.08,-2.63,0.23,0.74,-1.76,0.89,3.88,-5.16,1.92,1.70,-1.01,-2.22,4.54,1.74,-2.26,1.67,2.39,-1.46,0.25,3.13,-1.20,-3.20,0.57,EX_PEAK
-0.85,-1.98,-3.87,-0.03,-0.12,-0.99,0.03,2.39,-2.59,-0.39,3.09,-3.95,0.04,2.97,-1.32,-3.08,1.87,1.55,-3.71,2.11,1.77,-2.04,-2.31,2.93,-1.18,-3.23,1.79,EX_PEAK
-1.35,-5.06,-1.60,0.19,-1.96,-3.30,0.54,0.95,-2.79,0.02,-0.08,-0.96,-1.44,3.46,-1.88,-2.24,2.58,1.19,-6.23,5.26,2.83,-1.05,-1.27,1.50,0.98,-2.79,-1.32,EX_PEAK
-1.47,-0.37,-1.32,0.05,0.04,-4.00,1.33,4.75,-7.52,1.59,1.09,-1.25,0.10,4.35,-1.09,-1.19,3.68,-0.63,-5.17,4.36,2.58,-4.24,-2.94,3.48,-1.01,-2.03,0.85,EX_PEAK
-0.25,-7.26,-1.69,-2.28,-0.57,-1.46,-0.25,0.58,-2.26,0.62,4.32,-4.18,0.98,3.22,-0.94,-1.04,5.72,-1.02,-2.81,1.94,2.08,-2.29,-0.80,2.52,-2.31,-4.90,1.44,EX_PEAK
0.82,-2.31,-0.74,1.79,-1.91,-4.65,2.89,1.42,-2.75,1.98,3.23,-4.42,1.62,-0.77,-1.27,-0.24,0.39,-0.01,0.10,3.29,-0.02,-2.88,0.72,1.46,-3.09,-3.84,4.26,EX_PEAK
1.42,-3.71,-1.50,-0.07,-1.02,-3.75,1.16,1.12,-2.82,2.22,5.21,-6.74,2.65,1.35,-0.80,0.79,3.76,-1.00,-2.14,1.39,1.58,-6.79,-1.17,4.13,-2.38,-0.63,3.13,EX_PEAK
-0.24,0.39,-3.78,1.33,1.48,-2.09,1.25,1.84,-2.97,-1.31,3.36,-2.34,0.65,4.00,-0.81,-0.49,1.94,0.56,-5.21,0.61,2.38,-1.11,-2.84,3.48,0.03,-2.27,-0.35,EX_PEAK
-0.92,-5.77,-1.66,-1.02,-0.51,-2.27,-0.26,0.35,-4.53,0.16,0.44,-1.91,-0.24,4.44,-3.73,-1.90,1.04,0.49,-0.68,1.92,0.75,-2.23,3.52,1.22,-4.00,-4.46,4.39,EX_PEAK
0.78,5.11,-1.63,-4.37,2.33,1.95,-2.16,-2.23,2.74,-2.11,-3.65,1.94,0.30,-4.47,-1.90,-1.60,-1.31,-1.64,0.40,0.08,-2.63,0.23,0.74,-1.76,0.89,3.88,-5.16,EX_TROU
-2.22,4.54,1.74,-2.26,1.67,2.39,-1.46,0.25,3.13,-1.20,-3.20,0.57,-0.66,-5.62,-1.13,-0.85,-1.98,-3.87,-0.03,-0.12,-0.99,0.03,2.39,-2.59,-0.39,3.09,-3.95,EX_TROU
-3.08,1.87,1.55,-3.71,2.11,1.77,-2.04,-2.31,2.93,-1.18,-3.23,1.79,-1.35,-5.06,-1.60,0.19,-1.96,-3.30,0.54,0.95,-2.79,0.02,-0.08,-0.96,-1.44,3.46,-1.88,EX_TROU
-1.44,3.46,-1.88,-2.24,2.58,1.19,-6.23,5.26,2.83,-1.05,-1.27,1.50,0.98,-2.79,-1.32,-0.23,-4.34,-1.58,-1.47,-0.37,-1.32,0.05,0.04,-4.00,1.33,4.75,-7.52,EX_TROU
-1.19,3.68,-0.63,-5.17,4.36,2.58,-4.24,-2.94,3.48,-1.01,-2.03,0.85,-0.25,-7.26,-1.69,-2.28,-0.57,-1.46,-0.25,0.58,-2.26,0.62,4.32,-4.18,0.98,3.22,-0.94,EX_TROU
-1.04,5.72,-1.02,-2.81,1.94,2.08,-2.29,-0.80,2.52,-2.31,-4.90,1.44,0.82,-2.31,-0.74,1.79,-1.91,-4.65,2.89,1.42,-2.75,1.98,3.23,-4.42,1.62,-0.77,-1.27,EX_TROU
0.10,3.29,-0.02,-2.88,0.72,1.46,-3.09,-3.84,4.26,-1.33,-2.53,0.65,1.42,-3.71,-1.50,-0.07,-1.02,-3.75,1.16,1.12,-2.82,2.22,5.21,-6.74,2.65,1.35,-0.80,EX_TROU
-2.14,1.39,1.58,-6.79,-1.17,4.13,-2.38,-0.63,3.13,-0.46,-1.28,-0.16,-1.28,-6.78,-2.36,-0.24,0.39,-3.78,1.33,1.48,-2.09,1.25,1.84,-2.97,-1.31,3.36,-2.34,EX_TROU
-0.49,1.94,0.56,-5.21,0.61,2.38,-1.11,-2.84,3.48,0.03,-2.27,-0.35,-0.92,-5.77,-1.66,-1.02,-0.51,-2.27,-0.26,0.35,-4.53,0.16,0.44,-1.91,-0.24,4.44,-3.73,EX_TROU
-1.73,-3.01,2.37,0.45,0.52,2.91,-1.03,0.17,4.72,-1.04,3.12,4.11,-0.36,4.85,2.10,1.06,4.63,-0.05,0.04,2.27,-0.86,1.21,1.91,-3.25,2.79,0.60,-1.97,EX_PEAK
-0.27,-1.98,5.93,-1.49,0.48,4.56,-0.65,1.13,3.16,-1.75,2.76,2.67,0.43,1.24,0.07,-0.22,3.35,-0.28,0.59,1.52,-0.94,0.86,1.33,-2.70,2.56,0.38,-2.38,EX_PEAK
-0.68,-0.62,3.24,-0.11,-0.23,2.70,-0.53,1.18,0.44,-1.08,2.16,1.43,0.09,2.53,0.19,0.50,2.12,-0.54,1.08,1.47,-1.16,2.31,1.22,-5.84,2.45,0.55,-0.48,EX_PEAK
-1.07,0.52,4.92,-2.94,2.81,4.78,1.73,1.48,-0.36,-0.06,1.91,-0.22,0.22,1.24,-0.47,0.69,0.99,-1.02,1.34,0.74,-5.33,2.79,0.17,-2.71,6.54,-0.78,-0.64,EX_PEAK
-0.10,-0.08,3.07,-0.45,0.48,1.71,1.20,1.98,-0.12,0.85,0.15,-0.21,3.07,-3.21,-2.17,0.41,-0.03,-0.35,-0.64,1.64,-0.54,-0.24,1.81,-3.15,3.37,0.62,-4.64,EX_PEAK
-0.53,-1.19,2.77,0.52,0.42,2.24,-2.23,2.61,3.87,0.74,3.86,1.36,0.22,4.85,0.18,0.12,2.32,-0.38,0.72,1.15,-2.22,0.83,0.49,-4.58,3.64,1.34,-3.41,EX_PEAK
0.09,-0.77,2.13,-0.19,-0.40,4.25,-0.45,-0.14,1.63,1.93,-1.43,-0.04,1.59,4.14,-0.70,-0.95,1.77,0.37,-0.86,2.01,-0.34,1.28,1.27,-2.13,1.91,2.10,-3.75,EX_PEAK
-0.62,-1.34,2.22,-0.28,-1.21,3.75,-0.07,-0.74,2.24,0.29,2.71,2.75,0.51,1.78,-0.34,0.84,1.03,-0.01,0.74,0.54,-1.67,0.44,1.06,-4.24,3.18,-0.81,-2.63,EX_PEAK
-0.39,-0.63,2.29,-3.05,3.20,5.78,0.81,1.57,-0.19,-0.05,2.36,0.05,0.17,2.42,-0.48,0.76,3.03,-0.78,1.47,1.53,-4.74,5.00,-2.34,-3.95,2.36,-1.84,1.02,EX_PEAK
1.40,1.64,-2.29,3.19,0.67,-1.98,3.32,-2.16,-2.78,1.22,-2.14,1.75,-0.91,-4.64,5.13,-1.73,-3.01,2.37,0.45,0.52,2.91,-1.03,0.17,4.72,-1.04,3.12,4.11,EX_TROU
1.21,1.91,-3.25,2.79,0.60,-1.97,3.50,-3.38,-2.47,3.28,-1.77,0.35,1.11,-0.15,0.51,1.86,1.43,0.72,-0.27,-1.98,5.93,-1.49,0.48,4.56,-0.65,1.13,3.16,EX_TROU
0.59,1.52,-0.94,0.86,1.33,-2.70,2.56,0.38,-2.38,6.44,-4.51,-2.81,-1.54,-0.28,0.20,0.89,-0.62,1.49,0.47,-1.15,3.59,-0.68,-0.62,3.24,-0.11,-0.23,2.70,EX_TROU
2.31,1.22,-5.84,2.45,0.55,-0.48,5.02,-0.69,-0.86,-1.28,-1.20,0.68,1.18,-1.09,0.04,-0.94,-2.62,4.46,-0.72,-0.65,2.71,-1.07,0.52,4.92,-2.94,2.81,4.78,EX_TROU
2.79,0.17,-2.71,6.54,-0.78,-0.64,-2.41,-1.66,0.75,1.33,-0.06,0.16,1.63,-1.56,2.63,-0.90,-0.83,1.83,-0.10,-0.08,3.07,-0.45,0.48,1.71,1.20,1.98,-0.12,EX_TROU
0.41,-0.03,-0.35,-0.64,1.64,-0.54,-0.24,1.81,-3.15,3.37,0.62,-4.64,7.30,-4.17,-3.41,-2.71,-2.30,1.93,1.82,0.10,0.80,0.13,-1.70,3.34,-0.53,-1.19,2.77,EX_TROU
0.12,2.32,-0.38,0.72,1.15,-2.22,0.83,0.49,-4.58,3.64,1.34,-3.41,5.07,-0.47,-0.06,0.24,-1.40,1.23,-0.35,-2.34,3.10,0.09,-0.77,2.13,-0.19,-0.40,4.25,EX_TROU
-0.86,2.01,-0.34,1.28,1.27,-2.13,1.91,2.10,-3.75,1.13,-1.12,1.04,4.05,-0.38,1.10,0.31,-0.23,-0.37,2.28,-0.94,1.85,-0.62,-1.34,2.22,-0.28,-1.21,3.75,EX_TROU
0.74,0.54,-1.67,0.44,1.06,-4.24,3.18,-0.81,-2.63,5.75,-1.76,-0.93,1.07,-3.06,2.45,-0.48,-1.52,2.70,0.74,-0.96,3.12,-0.39,-0.63,2.29,-3.05,3.20,5.78,EX_TROU
0.76,3.03,-0.78,1.47,1.53,-4.74,5.00,-2.34,-3.95,2.36,-1.84,1.02,-0.91,-1.43,2.34,-1.79,-0.10,1.27,0.78,-0.78,2.81,0.27,-0.19,3.44,-0.88,0.78,3.43,EX_TROU
0.48,0.37,0.21,-0.46,0.04,0.01,-0.06,-0.07,0.01,0.12,-0.01,-0.46,0.03,-0.04,-0.37,-0.35,-0.05,-0.12,-0.56,-0.24,0.26,-0.59,-0.95,0.25,-1.33,-2.69,1.23,NOT_EX
0.03,-0.04,-0.37,-0.35,-0.05,-0.12,-0.56,-0.24,0.26,-0.59,-0.95,0.25,-1.33,-2.69,1.23,-1.10,-4.18,0.05,0.86,1.27,-1.68,-0.68,2.49,-0.92,0.20,2.04,-0.47,NOT_EX
-1.10,-4.18,0.05,0.86,1.27,-1.68,-0.68,2.49,-0.92,0.20,2.04,-0.47,0.56,2.16,0.06,0.96,0.30,0.29,2.47,-0.82,0.69,-1.93,-0.13,-0.21,-0.38,-0.02,-0.32,NOT_EX
0.56,2.16,0.06,0.96,0.30,0.29,2.47,-0.82,0.69,-1.93,-0.13,-0.21,-0.38,-0.02,-0.32,0.54,0.13,-0.17,-0.03,-0.34,-0.04,-0.21,-1.08,0.27,-0.14,-2.95,0.96,NOT_EX
0.54,0.13,-0.17,-0.03,-0.34,-0.04,-0.21,-1.08,0.27,-0.14,-2.95,0.96,0.42,-5.49,0.45,0.57,1.02,-2.59,-0.32,3.88,-1.18,-0.55,3.35,0.18,0.73,2.44,0.59,NOT_EX
0.42,-5.49,0.45,0.57,1.02,-2.59,-0.32,3.88,-1.18,-0.55,3.35,0.18,0.73,2.44,0.59,-0.01,-0.08,-0.08,1.17,-3.18,-0.54,-1.53,-0.20,-0.59,-0.02,0.01,-0.13,NOT_EX
-0.01,-0.08,-0.08,1.17,-3.18,-0.54,-1.53,-0.20,-0.59,-0.02,0.01,-0.13,-0.14,-0.11,-0.02,0.23,0.14,-0.27,-0.17,-0.25,0.07,-0.48,-1.45,0.32,-0.18,-3.60,1.01,NOT_EX
-0.14,-0.11,-0.02,0.23,0.14,-0.27,-0.17,-0.25,0.07,-0.48,-1.45,0.32,-0.18,-3.60,1.01,0.18,-5.33,0.69,0.72,1.73,0.17,-0.72,2.81,0.01,-0.54,2.81,0.69,NOT_EX
0.18,-5.33,0.69,0.72,1.73,0.17,-0.72,2.81,0.01,-0.54,2.81,0.69,0.07,1.04,1.16,-0.34,0.75,1.50,-1.97,-2.27,-0.16,3.24,1.22,1.06,0.27,0.06,0.22,NOT_EX
0.07,1.04,1.16,-0.34,0.75,1.50,-1.97,-2.27,-0.16,3.24,1.22,1.06,0.27,0.06,0.22,0.63,-0.04,0.20,-0.42,-0.07,-0.16,-0.53,-0.33,-0.27,-0.61,-0.44,-0.32,NOT_EX
0.63,-0.04,0.20,-0.42,-0.07,-0.16,-0.53,-0.33,-0.27,-0.61,-0.44,-0.32,-0.81,-0.55,-0.06,-1.08,-0.52,-1.28,-4.78,1.08,-6.04,-0.69,0.18,-4.29,-1.66,0.28,-3.91,NOT_EX
-0.81,-0.55,-0.06,-1.08,-0.52,-1.28,-4.78,1.08,-6.04,-0.69,0.18,-4.29,-1.66,0.28,-3.91,-1.59,0.41,-2.56,-0.57,-0.40,-1.45,-0.29,0.16,-0.60,-0.01,-0.16,-0.90,NOT_EX
-1.59,0.41,-2.56,-0.57,-0.40,-1.45,-0.29,0.16,-0.60,-0.01,-0.16,-0.90,-1.00,-0.40,-1.15,-1.43,-1.56,0.46,1.89,0.46,-0.71,0.05,0.60,0.10,-1.75,-0.05,0.05,NOT_EX
-1.00,-0.40,-1.15,-1.43,-1.56,0.46,1.89,0.46,-0.71,0.05,0.60,0.10,-1.75,-0.05,0.05,-0.15,-0.12,0.01,0.02,-0.04,-0.46,-0.15,-0.06,-0.34,0.97,0.03,-0.16,NOT_EX
-0.15,-0.12,0.01,0.02,-0.04,-0.46,-0.15,-0.06,-0.34,0.97,0.03,-0.16,-0.11,-0.82,0.05,-0.68,-3.27,1.12,0.70,-4.34,-1.33,-0.04,1.12,-0.65,-1.18,2.31,0.68,NOT_EX
-0.11,-0.82,0.05,-0.68,-3.27,1.12,0.70,-4.34,-1.33,-0.04,1.12,-0.65,-1.18,2.31,0.68,0.60,2.26,-0.09,0.49,2.35,0.50,0.14,0.14,-0.40,2.43,-0.69,0.15,NOT_EX
0.60,2.26,-0.09,0.49,2.35,0.50,0.14,0.14,-0.40,2.43,-0.69,0.15,-0.77,0.24,-0.07,0.34,0.07,-0.13,0.23,0.02,-0.23,-0.14,-0.58,-0.08,-0.20,-2.32,0.44,NOT_EX
-0.77,0.24,-0.07,0.34,0.07,-0.13,0.23,0.02,-0.23,-0.14,-0.58,-0.08,-0.20,-2.32,0.44,0.36,-3.82,0.35,-1.70,1.73,-2.19,0.44,3.67,-0.58,-3.19,2.53,-0.22,NOT_EX
0.36,-3.82,0.35,-1.70,1.73,-2.19,0.44,3.67,-0.58,-3.19,2.53,-0.22,0.90,2.13,2.45,0.58,0.27,-0.25,1.14,-1.37,1.29,-0.73,0.03,0.11,-0.09,-0.15,0.00,NOT_EX
0.90,2.13,2.45,0.58,0.27,-0.25,1.14,-1.37,1.29,-0.73,0.03,0.11,-0.09,-0.15,0.00,-0.22,-0.01,-0.17,-0.20,-0.44,-0.09,-0.58,-1.51,0.31,-0.22,-3.53,1.07,NOT_EX
-0.22,-0.01,-0.17,-0.20,-0.44,-0.09,-0.58,-1.51,0.31,-0.22,-3.53,1.07,-1.60,-1.76,0.33,1.23,1.83,-0.61,-1.87,2.79,-0.93,-0.41,2.16,0.05,2.04,0.80,-1.73,NOT_EX
1.23,1.83,-0.61,-1.87,2.79,-0.93,-0.41,2.16,0.05,2.04,0.80,-1.73,-2.80,-2.57,1.13,3.46,-1.66,0.23,0.22,0.88,-0.28,-0.31,-0.01,0.02,-0.20,-0.01,-0.04,NOT_EX
-2.80,-2.57,1.13,3.46,-1.66,0.23,0.22,0.88,-0.28,-0.31,-0.01,0.02,-0.20,-0.01,-0.04,-0.30,0.02,-0.27,-0.62,-0.12,-0.40,-1.00,-1.01,-0.67,-2.77,0.48,-3.18,NOT_EX
-0.30,0.02,-0.27,-0.62,-0.12,-0.40,-1.00,-1.01,-0.67,-2.77,0.48,-3.18,-2.20,1.61,-3.74,-1.58,0.05,-4.14,-1.32,-0.57,-2.97,-2.81,-0.30,-1.70,3.29,1.37,-2.32,NOT_EX
-2.20,1.61,-3.74,-1.58,0.05,-4.14,-1.32,-0.57,-2.97,-2.81,-0.30,-1.70,3.29,1.37,-2.32,-1.82,1.14,-0.49,3.09,-0.44,-0.71,0.47,-0.00,0.01,-1.67,0.58,-0.14,NOT_EX
3.29,1.37,-2.32,-1.82,1.14,-0.49,3.09,-0.44,-0.71,0.47,-0.00,0.01,-1.67,0.58,-0.14,-0.47,-0.14,-0.25,-1.52,0.23,-2.57,0.53,1.50,-1.02,2.57,2.87,-0.56,NOT_EX
-0.47,-0.14,-0.25,-1.52,0.23,-2.57,0.53,1.50,-1.02,2.57,2.87,-0.56,-1.85,0.39,0.23,1.11,0.40,1.21,-1.90,-0.25,-0.13,0.05,-0.07,-0.17,-0.85,-0.21,-0.08,NOT_EX
-1.85,0.39,0.23,1.11,0.40,1.21,-1.90,-0.25,-0.13,0.05,-0.07,-0.17,-0.85,-0.21,-0.08,0.14,-0.19,-0.19,-0.38,-0.83,0.10,-0.58,-1.28,0.36,-0.71,-5.72,0.21,NOT_EX
0.14,-0.19,-0.19,-0.38,-0.83,0.10,-0.58,-1.28,0.36,-0.71,-5.72,0.21,-0.05,2.20,-2.99,3.39,1.65,-2.32,-0.08,3.64,-0.03,0.21,1.98,0.75,1.07,0.99,-0.84,NOT_EX
3.39,1.65,-2.32,-0.08,3.64,-0.03,0.21,1.98,0.75,1.07,0.99,-0.84,1.03,-0.84,-0.80,1.37,-0.04,0.28,-0.63,-0.80,0.12,-0.71,-1.22,0.29,-0.38,-1.20,0.36,NOT_EX
1.03,-0.84,-0.80,1.37,-0.04,0.28,-0.63,-0.80,0.12,-0.71,-1.22,0.29,-0.38,-1.20,0.36,-0.27,-2.00,0.54,-0.96,-3.93,0.29,-0.65,2.58,-3.27,-0.56,3.86,-0.10,NOT_EX
-0.38,-1.20,0.36,-0.27,-2.00,0.54,-0.96,-3.93,0.29,-0.65,2.58,-3.27,-0.56,3.86,-0.10,-0.82,3.58,0.05,-1.26,1.54,3.80,3.18,-0.87,-1.26,1.83,0.18,-1.03,NOT_EX
-0.82,3.58,0.05,-1.26,1.54,3.80,3.18,-0.87,-1.26,1.83,0.18,-1.03,0.98,-0.53,0.18,0.35,-0.22,-0.00,-0.74,-0.91,0.08,-0.01,-0.97,-0.19,-0.31,-1.65,0.25,NOT_EX
0.98,-0.53,0.18,0.35,-0.22,-0.00,-0.74,-0.91,0.08,-0.01,-0.97,-0.19,-0.31,-1.65,0.25,1.71,-6.31,-1.37,-1.13,1.48,-2.80,0.81,4.49,-1.32,-3.19,3.22,-0.64,NOT_EX
1.71,-6.31,-1.37,-1.13,1.48,-2.80,0.81,4.49,-1.32,-3.19,3.22,-0.64,0.45,3.09,0.19,-0.12,0.36,0.30,-0.69,-3.60,-1.75,-2.30,1.33,-0.85,0.22,-0.19,-0.07,NOT_EX
-0.12,0.36,0.30,-0.69,-3.60,-1.75,-2.30,1.33,-0.85,0.22,-0.19,-0.07,-0.06,-0.45,-0.11,-0.28,-0.63,-0.09,-0.46,-1.37,0.30,-0.12,-3.63,0.31,-2.59,1.14,-3.20,NOT_EX
-0.06,-0.45,-0.11,-0.28,-0.63,-0.09,-0.46,-1.37,0.30,-0.12,-3.63,0.31,-2.59,1.14,-3.20,1.20,2.32,-0.00,-1.29,3.21,-0.82,0.66,2.51,-0.07,-0.81,-1.27,-0.11,NOT_EX
1.20,2.32,-0.00,-1.29,3.21,-0.82,0.66,2.51,-0.07,-0.81,-1.27,-0.11,-1.42,0.19,-0.24,-0.47,0.30,0.83,0.37,-0.32,0.10,-0.22,-0.22,0.24,-0.38,-0.27,0.06,NOT_EX
-1.42,0.19,-0.24,-0.47,0.30,0.83,0.37,-0.32,0.10,-0.22,-0.22,0.24,-0.38,-0.27,0.06,-0.66,-0.48,-0.43,-0.68,-0.43,-0.34,-0.74,-0.84,-0.33,-5.76,2.04,-4.05,NOT_EX
-0.66,-0.48,-0.43,-0.68,-0.43,-0.34,-0.74,-0.84,-0.33,-5.76,2.04,-4.05,-2.10,1.86,-9.08,-2.36,1.16,-3.88,-3.53,0.61,-2.81,0.31,-0.14,-1.33,-1.04,0.72,0.33,NOT_EX
-2.10,1.86,-9.08,-2.36,1.16,-3.88,-3.53,0.61,-2.81,0.31,-0.14,-1.33,-1.04,0.72,0.33,-0.78,-0.21,-0.10,-0.24,-0.06,-0.08,-0.45,-0.13,0.12,0.03,-0.35,0.22,NOT_EX
-1.04,0.72,0.33,-0.78,-0.21,-0.10,-0.24,-0.06,-0.08,-0.45,-0.13,0.12,0.03,-0.35,0.22,-0.36,-0.40,0.29,0.02,-0.47,-0.14,0.58,-0.01,-0.19,0.67,-0.93,-0.28,NOT_EX
-0.36,-0.40,0.29,0.02,-0.47,-0.14,0.58,-0.01,-0.19,0.67,-0.93,-0.28,-4.24,0.10,-1.26,-0.92,1.75,-0.46,0.62,2.03,0.45,0.92,0.84,0.25,-0.77,-0.04,0.85,NOT_EX
-4.24,0.10,-1.26,-0.92,1.75,-0.46,0.62,2.03,0.45,0.92,0.84,0.25,-0.77,-0.04,0.85,1.09,-5.39,0.50,1.65,0.65,0.47,0.10,0.05,-0.02,-0.20,-0.10,-0.06,NOT_EX
1.09,-5.39,0.50,1.65,0.65,0.47,0.10,0.05,-0.02,-0.20,-0.10,-0.06,-0.28,-0.18,-0.04,-0.05,-0.38,-0.37,-0.34,-1.16,0.22,-0.04,-2.73,0.18,-0.34,-6.04,-0.34,NOT_EX
-0.05,-0.38,-0.37,-0.34,-1.16,0.22,-0.04,-2.73,0.18,-0.34,-6.04,-0.34,-2.02,0.98,-3.80,0.21,3.66,0.39,-1.84,3.81,0.27,1.71,-0.34,0.83,-1.69,-2.85,0.00,NOT_EX
