% Data generated on Wed Nov 18 22:17:44 GMT 2015
% by find-and-format
% produced by Daniel Playle (dan@dan.re)
%
@RELATION gdp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE z1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE z2 NUMERIC
@ATTRIBUTE class {EX_PEAK,EX_TROU,NOT_EX}

@DATA
-1.21,-0.19,-0.60,-0.22,1.10,-1.54,NOT_EX
-0.22,1.10,-1.54,0.75,-1.30,-0.30,NOT_EX
0.75,-1.30,-0.30,-0.09,0.03,-0.18,NOT_EX
-0.09,0.03,-0.18,0.30,-5.29,-1.29,NOT_EX
0.30,-5.29,-1.29,-0.07,0.55,1.37,NOT_EX
-0.07,0.55,1.37,0.14,-0.07,-0.30,NOT_EX
0.14,-0.07,-0.30,-0.22,-2.30,-0.17,NOT_EX
-0.22,-2.30,-0.17,0.43,1.26,2.56,NOT_EX
0.43,1.26,2.56,-0.49,-0.17,-0.20,NOT_EX
-0.49,-0.17,-0.20,-0.42,-1.66,-0.25,NOT_EX
-0.42,-1.66,-0.25,-0.34,2.40,1.23,NOT_EX
-0.34,2.40,1.23,-0.04,-0.04,-0.21,NOT_EX
-0.04,-0.04,-0.21,-0.22,-1.86,-0.32,NOT_EX
-0.22,-1.86,-0.32,-0.09,2.32,1.99,NOT_EX
-0.09,2.32,1.99,0.51,0.09,-0.47,NOT_EX
0.51,0.09,-0.47,0.01,-0.18,-0.31,NOT_EX
0.01,-0.18,-0.31,-0.73,3.36,0.27,NOT_EX
-0.73,3.36,0.27,-0.93,0.10,0.18,NOT_EX
-0.45,-2.28,0.80,-0.22,3.14,-1.26,EX_PEAK
-3.68,-2.88,1.40,-0.96,2.71,-2.13,EX_PEAK
-1.19,-1.04,1.93,1.92,-0.50,-3.46,EX_PEAK
0.12,0.36,-2.36,-0.41,2.24,-0.05,EX_PEAK
-1.23,-1.48,0.99,-1.32,0.85,-1.53,EX_PEAK
-2.14,-0.44,2.78,-2.63,4.24,-1.49,EX_PEAK
1.08,1.58,-1.09,-0.98,2.30,-0.02,EX_PEAK
-2.30,-0.10,0.68,-0.27,5.24,-1.76,EX_PEAK
-0.66,1.73,0.72,-0.45,-2.28,0.80,EX_TROU
-0.22,3.14,-1.26,-3.68,-2.88,1.40,EX_TROU
-1.19,-1.04,1.93,1.92,-0.50,-3.46,EX_TROU
-2.14,-0.36,3.53,0.12,0.36,-2.36,EX_TROU
-0.41,2.24,-0.05,-1.23,-1.48,0.99,EX_TROU
-1.32,0.85,-1.53,-2.14,-0.44,2.78,EX_TROU
-2.86,1.73,2.15,1.08,1.58,-1.09,EX_TROU
-0.98,2.30,-0.02,-2.30,-0.10,0.68,EX_TROU
1.28,-2.92,1.06,-0.45,-0.84,1.72,EX_PEAK
-0.15,-1.16,-0.10,0.62,2.04,-0.49,EX_PEAK
1.37,-0.14,-0.09,1.49,2.32,0.65,EX_PEAK
3.57,-4.25,0.36,0.67,0.75,1.69,EX_PEAK
0.56,-0.96,3.70,1.43,2.42,-2.74,EX_PEAK
0.33,-1.46,2.22,0.39,2.35,-0.19,EX_PEAK
-0.89,-2.69,0.51,1.53,2.64,0.12,EX_PEAK
2.44,-5.18,1.12,-1.81,2.90,5.01,EX_PEAK
0.19,1.41,-0.55,1.28,-2.92,1.06,EX_TROU
-0.17,1.41,-2.78,-0.15,-1.16,-0.10,EX_TROU
0.62,2.04,-0.49,1.37,-0.14,-0.09,EX_TROU
1.49,2.32,0.65,3.57,-4.25,0.36,EX_TROU
2.70,-0.24,-4.60,0.56,-0.96,3.70,EX_TROU
1.43,2.42,-2.74,0.33,-1.46,2.22,EX_TROU
0.39,2.35,-0.19,-0.89,-2.69,0.51,EX_TROU
1.53,2.64,0.12,2.44,-5.18,1.12,EX_TROU
-1.81,2.90,5.01,3.05,0.01,-4.44,EX_TROU
-0.06,-1.12,-0.20,0.22,3.88,0.99,NOT_EX
0.22,3.88,0.99,-0.03,-0.18,-0.15,NOT_EX
-0.03,-0.18,-0.15,0.32,-4.66,-0.45,NOT_EX
0.32,-4.66,-0.45,0.40,0.82,1.29,NOT_EX
0.40,0.82,1.29,0.14,-0.25,-0.32,NOT_EX
0.14,-0.25,-0.32,0.66,4.67,2.54,NOT_EX
0.66,4.67,2.54,-2.53,-0.34,0.70,NOT_EX
-2.53,-0.34,0.70,0.29,-2.22,-0.08,NOT_EX
0.29,-2.22,-0.08,0.05,3.96,1.52,NOT_EX
0.05,3.96,1.52,0.02,-0.16,-0.27,NOT_EX
0.02,-0.16,-0.27,3.13,0.75,5.59,NOT_EX
3.13,0.75,5.59,0.07,-0.08,0.10,NOT_EX
0.07,-0.08,0.10,4.21,0.85,-1.43,NOT_EX
4.21,0.85,-1.43,1.42,-8.42,-2.26,NOT_EX
1.42,-8.42,-2.26,0.01,-0.48,-0.23,NOT_EX
0.01,-0.48,-0.23,-0.72,3.96,1.98,NOT_EX
-0.72,3.96,1.98,0.24,0.11,-0.42,NOT_EX
0.24,0.11,-0.42,0.49,0.20,-0.66,NOT_EX
0.49,0.20,-0.66,1.13,-0.70,0.93,NOT_EX
1.13,-0.70,0.93,0.12,-1.29,-0.16,NOT_EX
0.12,-1.29,-0.16,-0.72,4.27,1.04,NOT_EX
-0.72,4.27,1.04,-0.08,-0.34,-0.41,NOT_EX
-0.08,-0.34,-0.41,0.23,3.34,-0.41,NOT_EX
0.23,3.34,-0.41,6.91,-3.53,2.87,NOT_EX
6.91,-3.53,2.87,-0.62,-0.13,-1.18,NOT_EX
-0.62,-0.13,-1.18,-0.80,0.18,0.78,NOT_EX
-0.80,0.18,0.78,-0.14,-0.33,-0.18,NOT_EX
-0.14,-0.33,-0.18,-3.98,4.66,1.08,NOT_EX
-3.98,4.66,1.08,1.68,-3.03,-1.08,NOT_EX
1.68,-3.03,-1.08,0.11,-0.88,-0.36,NOT_EX
0.11,-0.88,-0.36,0.69,3.50,3.05,NOT_EX
0.69,3.50,3.05,-0.07,-0.37,-0.16,NOT_EX
-0.07,-0.37,-0.16,-1.42,-4.96,-0.88,NOT_EX
-1.42,-4.96,-0.88,-0.28,-0.64,0.24,NOT_EX
-0.28,-0.64,0.24,0.03,-0.92,-0.21,NOT_EX
0.03,-0.92,-0.21,-1.81,4.60,1.90,NOT_EX
-1.81,4.60,1.90,-0.11,-0.06,-0.14,NOT_EX
-0.11,-0.06,-0.14,2.48,1.15,-1.31,NOT_EX
2.48,1.15,-1.31,0.98,0.09,2.63,NOT_EX
0.98,0.09,2.63,-0.11,-0.13,0.16,NOT_EX
-0.11,-0.13,0.16,0.51,0.64,-0.41,NOT_EX
0.51,0.64,-0.41,0.41,-0.17,-2.23,NOT_EX
0.41,-0.17,-2.23,0.08,-1.40,-0.32,NOT_EX
0.08,-1.40,-0.32,-0.87,3.26,0.27,NOT_EX
-0.87,3.26,0.27,0.24,0.07,-0.50,NOT_EX
0.24,0.07,-0.50,0.29,-5.29,-1.84,NOT_EX
0.29,-5.29,-1.84,-2.30,1.04,0.43,NOT_EX
-0.23,-1.55,2.28,-0.57,-0.07,-2.09,EX_PEAK
0.10,-2.61,-0.48,-0.11,3.59,-2.61,EX_PEAK
-2.47,-1.32,2.16,0.26,0.57,-3.05,EX_PEAK
0.18,-0.91,-0.44,0.27,1.92,-3.09,EX_PEAK
1.58,-4.35,-2.41,0.68,1.61,0.28,EX_PEAK
-1.34,-0.48,0.53,1.15,0.62,-2.88,EX_PEAK
1.07,-3.99,-1.17,1.69,2.46,-2.11,EX_PEAK
-2.00,-0.87,0.63,2.85,0.75,-2.46,EX_PEAK
0.62,0.33,-3.76,-1.42,0.33,0.90,EX_PEAK
1.25,-1.00,-0.42,1.35,-0.25,-0.74,EX_PEAK
-1.42,1.37,1.37,0.10,-2.61,-0.48,EX_TROU
-2.47,-1.32,2.16,0.26,0.57,-3.05,EX_TROU
-1.01,1.83,0.94,0.18,-0.91,-0.44,EX_TROU
-1.19,0.86,0.72,1.58,-4.35,-2.41,EX_TROU
1.07,-3.99,-1.17,1.69,2.46,-2.11,EX_TROU
-2.00,-0.87,0.63,2.85,0.75,-2.46,EX_TROU
-0.51,0.94,-0.27,-0.18,-0.82,-0.06,EX_TROU
-1.42,0.33,0.90,1.25,-1.00,-0.42,EX_TROU
-0.17,-2.27,-0.55,-1.62,2.94,1.01,EX_PEAK
-0.16,0.45,1.91,0.78,0.81,-0.97,EX_PEAK
-0.35,-1.61,0.58,1.26,2.80,-0.44,EX_PEAK
2.16,-1.28,-0.15,-1.29,0.38,1.52,EX_PEAK
1.33,-2.23,1.10,0.30,2.25,0.30,EX_PEAK
1.43,-4.01,0.01,0.94,1.45,1.45,EX_PEAK
2.53,-0.53,-2.18,-0.33,1.46,0.25,EX_PEAK
-1.66,-3.37,2.43,2.50,3.05,-1.06,EX_PEAK
0.83,-1.36,-0.07,-1.76,2.60,2.94,EX_PEAK
1.14,-2.10,1.90,0.14,1.83,-3.03,EX_PEAK
-1.62,2.94,1.01,1.16,-0.50,-0.99,EX_TROU
0.78,0.81,-0.97,-0.35,-1.61,0.58,EX_TROU
1.26,2.80,-0.44,2.16,-1.28,-0.15,EX_TROU
1.40,0.70,-1.22,1.33,-2.23,1.10,EX_TROU
0.30,2.25,0.30,1.43,-4.01,0.01,EX_TROU
2.53,-0.53,-2.18,-0.33,1.46,0.25,EX_TROU
1.87,0.25,-1.73,-1.66,-3.37,2.43,EX_TROU
2.50,3.05,-1.06,0.83,-1.36,-0.07,EX_TROU
1.59,-0.40,-0.85,1.14,-2.10,1.90,EX_TROU
0.21,1.80,-0.08,1.07,-0.58,1.28,NOT_EX
1.07,-0.58,1.28,-0.15,-0.18,-0.07,NOT_EX
-0.15,-0.18,-0.07,-0.60,2.36,2.16,NOT_EX
-0.60,2.36,2.16,0.95,0.62,-0.55,NOT_EX
0.95,0.62,-0.55,0.14,-2.27,-0.92,NOT_EX
0.14,-2.27,-0.92,-2.03,3.65,0.89,NOT_EX
-2.03,3.65,0.89,-0.56,0.31,0.11,NOT_EX
-0.56,0.31,0.11,-5.61,-1.66,-2.44,NOT_EX
-5.61,-1.66,-2.44,0.69,0.06,-0.13,NOT_EX
0.69,0.06,-0.13,-0.00,-0.15,-0.17,NOT_EX
-0.00,-0.15,-0.17,0.98,0.92,4.60,NOT_EX
0.98,0.92,4.60,0.19,-0.30,0.02,NOT_EX
0.19,-0.30,0.02,0.01,-0.22,-0.18,NOT_EX
0.01,-0.22,-0.18,1.34,0.87,3.87,NOT_EX
1.34,0.87,3.87,2.12,-0.60,0.01,NOT_EX
2.12,-0.60,0.01,-0.37,-0.75,-0.37,NOT_EX
-0.37,-0.75,-0.37,-1.56,3.01,3.22,NOT_EX
-1.56,3.01,3.22,0.29,0.09,-0.24,NOT_EX
0.29,0.09,-0.24,2.76,-6.10,-3.84,NOT_EX
2.76,-6.10,-3.84,1.19,2.08,0.30,NOT_EX
1.19,2.08,0.30,-0.09,-0.03,-0.12,NOT_EX
-0.09,-0.03,-0.12,0.87,0.76,-1.21,NOT_EX
0.87,0.76,-1.21,2.53,-3.23,1.10,NOT_EX
2.53,-3.23,1.10,-0.33,-0.69,-0.01,NOT_EX
-0.33,-0.69,-0.01,-0.54,3.46,3.75,NOT_EX
-0.54,3.46,3.75,-0.47,0.27,-0.16,NOT_EX
-0.47,0.27,-0.16,-0.38,-1.47,-0.28,NOT_EX
-0.38,-1.47,-0.28,1.70,-0.03,4.59,NOT_EX
1.70,-0.03,4.59,0.45,-0.06,-0.21,NOT_EX
0.45,-0.06,-0.21,-0.49,-2.28,-1.20,NOT_EX
-0.49,-2.28,-1.20,-0.67,1.87,2.60,NOT_EX
-0.67,1.87,2.60,0.30,0.09,-0.23,NOT_EX
0.30,0.09,-0.23,2.34,-5.22,-2.34,NOT_EX
2.34,-5.22,-2.34,-0.34,1.42,1.42,NOT_EX
-0.34,1.42,1.42,-0.10,0.01,-0.09,NOT_EX
-0.10,0.01,-0.09,2.04,0.96,-3.11,NOT_EX
2.04,0.96,-3.11,-1.98,-3.58,-5.68,NOT_EX
-1.98,-3.58,-5.68,-0.24,-0.36,-0.28,NOT_EX
-0.24,-0.36,-0.28,2.14,0.55,3.46,NOT_EX
2.14,0.55,3.46,-1.32,0.83,0.01,NOT_EX
-1.32,0.83,0.01,0.21,-0.15,-0.07,NOT_EX
0.21,-0.15,-0.07,1.57,0.78,2.84,NOT_EX
1.57,0.78,2.84,-0.25,-0.40,-1.37,NOT_EX
-0.25,-0.40,-1.37,-0.08,0.07,-0.08,NOT_EX
-0.08,0.07,-0.08,2.15,0.63,-1.08,NOT_EX
2.15,0.63,-1.08,-0.27,-0.72,1.41,NOT_EX
-0.27,-0.72,1.41,0.03,0.01,-0.08,NOT_EX
0.03,0.01,-0.08,-0.20,-3.48,-3.19,NOT_EX
-0.20,-3.48,-3.19,0.25,1.75,0.05,NOT_EX
0.25,1.75,0.05,-0.28,0.07,-0.00,NOT_EX
-0.28,0.07,-0.00,-1.33,-4.05,-3.40,NOT_EX
-1.33,-4.05,-3.40,-0.15,0.59,1.46,NOT_EX
-0.15,0.59,1.46,-0.11,0.07,0.03,NOT_EX
-0.11,0.07,0.03,2.45,-4.89,-2.85,NOT_EX
2.45,-4.89,-2.85,1.02,-1.33,4.97,NOT_EX
1.02,-1.33,4.97,-0.83,0.63,0.04,NOT_EX
-0.83,0.63,0.04,-0.08,-0.15,0.04,NOT_EX
